,B/Plasma,Cancer Epithelial,Endothelial,Fibroblasts,Myeloid,PVL,T/NK Cells
A2M,0.3487351253256137,1.2817528393263198,13.308205413754933,2.4229316322942984,3.1721701543129304,7.283864130649213,0.10434400711687489
ACKR1,0.14590410141278568,0.18335421033494329,22.154420915278312,0.11883280615670556,0.04308524350430845,0.21290042186750224,0.06129292375094346
ACP5,1.071104492482604,0.4194470225235521,0.07032486002508385,0.6330015140239388,5.654210071809754,0.09188526006716528,0.5390567705700926
ACTA2,0.2553215166232821,7.575918930196786,0.4475712183632464,12.934158040873392,0.20698822249821164,54.438018129385824,0.3079305037942778
ACTG2,0.029040723529341398,0.5973492701612657,0.029964820637193336,0.22323980973062105,0.01977151516610566,3.025441350446874,0.030583646118444677
ADAM15,0.12621161670963738,0.5675997824680573,3.6118363016268087,0.25398986455648104,0.3535658899113839,0.20000155619788443,0.14923419502314517
ADGRL4,0.0560509868388537,0.05569148118493947,5.184634533232331,0.14378687809083757,0.011830340695804938,0.0926431335761279,0.011173247408851467
ADIRF,0.23739300091184817,10.253149210849713,8.175109617996553,2.7535856151264486,0.22203095289788566,29.721296615418368,0.1043630584797001
AEBP1,0.20908207698082054,0.34245904148894063,0.23784475578570877,14.70214523788031,0.07362887590542846,2.4688616148212477,0.04938067034256814
AGR2,0.1578704488622725,4.546302399213667,0.20999208262101648,0.20271321135137357,0.31854936681932283,0.6165422023526863,0.08590468352283578
AGR3,0.07432840253242057,4.947209924471814,0.1625767146195242,0.4510717151797975,0.17618116464374242,0.4006596034554933,0.04512499128783651
AIF1,1.0746323195453755,0.31232277112131834,0.3201610039903489,0.35613625374498,11.083069080348386,0.06910477199546637,0.19019856975811536
ANKRD30A,0.06975632024793496,3.7798794660170083,0.05382038253523932,0.16363874378188628,0.05649608086203323,0.1457252465668997,0.04875499110959956
APOC1,1.5796729957677347,1.1710762553417984,0.9007457655897886,1.4112093393804965,24.39951284344548,0.4004123101033285,0.1693182446879533
APOD,0.4576580059144701,2.024544382046079,1.387140403026821,26.722320022242872,0.17957256997131446,0.5747720890912527,0.36763152733130344
APOE,2.867815912410226,4.158244628689139,1.6577739683820125,6.153520886053266,54.863493389956155,5.566874852327496,0.6219144845276267
AQP1,0.0871055241356364,0.17447037768936807,10.675210653932,0.29841077992697645,0.05157189831440962,0.37219588180164165,0.08362516952669632
ASPN,0.044954556243898124,0.0760432766438173,0.0811060920385903,13.585444066190304,0.0457860098493101,0.7095326604158199,0.01906700753635265
ATP1B1,0.24744264028441357,2.796663086970341,0.14092122583672495,0.6602503468758727,0.8110388733486894,0.17633472079391796,0.34304672050721596
AZGP1,0.46258612179862474,12.24287269677687,0.36109079898251106,0.6117092032287292,0.20622276936313091,0.6276496821119503,0.17650788772601805
BTG1,20.269953974364807,4.697992939284072,7.890549131404852,2.9911341357190206,8.766823160232539,6.726483826280521,32.55058624271308
C11ORF96,0.02392841662235717,0.4575894830051627,0.3556817056866368,0.7887710505255211,0.02372815785681237,3.677878498496678,0.0355167257498163
C15ORF48,0.7911297334770625,1.426264902464066,0.18902755196985666,0.15916067821467222,5.197738143277835,0.13196535715690333,0.10504954365052935
C1QA,0.8509833512972954,0.24817855691422694,0.281136874441443,0.36129068218662336,15.456684804323336,0.10969530116599177,0.12124744155133796
C1QB,1.1588286666685355,0.25551850792812253,0.29109964644893943,0.5233132031547862,17.15448709626566,0.1104712628005706,0.13343242423296056
C1QC,0.7888273201859001,0.21822644319926313,0.23444676787865232,0.40173572653033435,13.56771082665954,0.10099642373527744,0.09929266514788396
C1R,0.07981687072129948,0.39890796918075544,0.3853443349393071,5.863136889402283,0.04068730808423178,2.2279689417118673,0.06972184001309761
C1S,0.08883906060758315,0.4878946207464866,0.22706315638136504,7.978734388211651,0.08776983510063338,2.4198590565684492,0.06102819714230265
CALCRL,0.06011563328458089,0.06676850006463692,4.208952800858266,0.2162483888843865,0.048901807601818614,0.3462668491288717,0.015524975292859712
CALD1,0.29319300956853694,4.457715842765176,3.848005968852597,22.80400640285149,0.16780192219513082,33.782027937989454,0.1354775661721199
CALML5,0.457714754556045,2.746797532370799,0.05092239755958607,0.07937578469654069,0.19112528678263646,0.061948526531176,0.18053395002873646
CAV1,0.5127970971063751,1.553425309734881,10.578824181392802,2.5966203653471194,0.08113382454654704,11.12933873108512,0.07818514296255137
